질병명,식사요법의 필요성,식사요법의 실제,권장 식품,주의 식품,그 외 주의사항
아토피성 피부염식,"아토피성 피부염이라고 해서 반드시 식품 알레르기가 있는 것은 아닙니다. 따라서 식품 알레르기가 없는 아토피성 피부염일 경우 특별한 식사요법은 필요하지 않습니다. 하지만 식품 알레르기가 있는 아토피성 피부염이 의심될 경우 정확한 알레르겐(항원) 검사를 통해 원인 식품을 제한하는 식사요법, 즉 회피요법이 필요합니다. 식품 알레르기의 원인이 되는 식품의 섭취를 엄격히 제한함으로서 아토피 피부염의 증상을 완화시킬 수 있습니다.","1. 아토피 피부염의 원인 식품을 정확히 진단한 후, 이들을 식사에서 제외시키고 대체 식품을 찾아서 영양적 불균형이 생기지 않도록 해야 합니다. 원인 식품은 식사와 간식에서 엄격히 제외되어야 하며, 원인 식품이 재료로 사용된 음식뿐 아니라 이들과 접촉한 음식까지도 섭취하지 않도록 합니다. 특히 계란이나 우유는 가공 식품의 재료로 많이 이용되므로 이들에 대한 알레르기가 있는 경우, 식품 성분표를 확인한 후 섭취하는 것이 필요합니다.2. 산양유는 알레르기 예방 또는 대체 분유로는 부적당하며, 식품 알레르기가 없는데도 불구하고 우유, 계란, 밀가루, 콩, 두유, 땅콩 등 알레르기 고위험 식품을 제한하는 것은 아이의 성장을 저해할 수 있으므로 신중히 고려되어야 합니다.","식품 알레르기와 같이 있는 경우 알레르기 원인 식품을 제외한 모든 음식, 특히 단백질과 아연이 풍부한 육류를 충분히 섭취하는 것이 좋습니다","식품 알레르기와 아토피성 피부염이 동반되어 있는 경우 알레르기 원인 식품 및 이를 포함한 모든 음식의 섭취를 금합니다. 예를 들어 계란 알레르기가 있는 환아의 경우 계란 뿐만 아니라 계란이 포함된 가공식품, 빵류, 부침개, 튀김옷(계란이 포함된), 마요네즈 등을 모두 먹어서는 안됩니다. 또한 계란옷을 입힌 전류의 계란옷만 벗긴 후 음식을 먹인다거나 계란이 얹어진 국수에서 계란만 덜어내고 국수를 먹이는 경우에도 알레르기 반응을 보일 수 있으므로 계란과 접촉한 모든 식품이나 음식의 섭취를 금해야 합니다. 계란은 여러가지 음식의 재료로 사용되므로 식품 성분표를 잘 확인하는 것도 중요합니다.","아토피 피부염을 일으킬 수 있는 원인 식품은 여러 가지가 있으나, 그 중 계란, 우유, 달걀, 콩, 땅콩, 밀가루가 흔합니다. 하지만 이 모든 식품들을 무조건 피할 경우 성장장애 등의 더 큰 문제로 이어질 수 있으므로 식품 알레르기가 의심되면 알레르겐(항원) 검사를 통해 이를 정확히 진단한 후, 올바른 식사요법을 시행하는 것이 중요합니다."
십이지장궤양식,"복통 등의 증상으로 식사 섭취량이 줄어서 체중 감소 및 영양결핍이 나타날 수 있으므로, 영양상태를 유지 또는 개선하면서 소화성 궤양의 증상을 최소화합니다.","1. 위산분비를 증가시키는 음식을 주의합니다. (알코올, 후추, 커피-디카페인 포함)2. 골고루 규칙적으로 식사하며, 과식하지 않습니다. (잦은 간식은 위산분비를 증가시킬 수 있으므로 삼가합니다.)3. 양질의 단백질 식품(생선, 두부, 계란, 살코기 등)을 충분히 섭취합니다.4. 소화흡수에 문제가 없다면 섬유소는 충분히 섭취합니다.5. 취침 전 야식은 피하도록 합니다.6. 금주 합니다.",오메가-3 지방산이 풍부한 등푸른 생선,"알코올,  카페인 함유식품(커피, 콜라, 코코아 등), 과도한 양념과 조미료",1. 금연은 궤양치료에 도움이 될 뿐 아니라 입맛을 좋게 하므로 담배를 끊는 것이 좋습니다.2. 개인에 따라 불쾌감을 주는 음식이나 음료는 삼가합니다.3. 잦은 우유 섭취는 위산 분비량 증가의 원인이 되므로 주의합니다.
심근경색식,"심장의 부담을 줄이고, 울혈성 심부전을 예방하며 고혈압 조절을 위해 염분 제한이 필요합니다.또한, 과량의 식사는 위를 팽창시켜 호흡 곤란을 일으키거나 식후 발열을 증가시켜 심장의 부담을 줄 수 있으므로 소량씩 잦은 식사가 바람직하며 비만인 경우 체중 조절 필요합니다.장기적으로 영양 교육을 통해 체중 조절의 중요성을 강조하며 콜레스테롤과 포화지방의 섭취 제한이 필요합니다.","1. 밥은 현미, 보리 등을 섞은 잡곡밥이 좋으며 기호에 따라 적정량 혼식합니다. 단, 입맛에 맞지 않을 경우 무리하게 잡곡밥을 고집하지 말고 쌀밥을 섭취합니다.2. 고기, 두부, 생선 등의 단백질 반찬도 골고루 섭취하되 고기는 기름기와 껍질을 제거한 살코기로 섭취합니다.3. 채소찬은 제철 채소를 이용하여 싱겁게 조리하되 장아찌, 김치 등의 염장식품은 지양합니다.4. 간식은 정규 식사 사이에 제철 과일과 우유로 섭취합니다.5. 전체적인 조리 방법은 지방 섭취를 줄이기 위해 튀기거나 부치는 대신 굽기, 찜, 삶는 방법을 주로 선택하나 맛을 내기 위해 적당량의 식물성기름(참기름, 들기름 등)을 사용합니다.6. 또한 염분량은 소금을 기준으로 1일 3g만 추가하도록 합니다.7. 저염식 적응을 위해 조리 시 미리 염분을 넣는 것보다 무염 조리 후 따로 분량의 저염 소스를 곁들이는 것이 더욱 효과적입니다.","신선한 채소를 비롯한 잡곡, 저지방 어육류, 생선, 두부 그리고 제철 과일과 우유 등 균형잡힌 식사","고지방 어육류 : 갈비, 삼겹살, 육류의 껍질과 기름, 장어, 햄류고콜레스테롤 식품 : 내장류, 새우, 오징어, 계란노른자기름진 음식 : 탕류, 중국음식, 튀김류, 전류염장 식품 : 김치류, 젓갈류, 장아찌류, 건어물 및 자반 생선류가공식품 : 햄류, 통조림류, 라면국물류 : 국, 찌개","회복 정도에 따라 급성기인 처음 24시간 동안은 미음 섭취하고 그 후 적응도에 따라 죽->밥으로 서서히 진전시킵니다카페인에 의해 특히 위험한 심부정맥이 발생될 수 있으므로 카페인 함유 음료를 제한합니다Hyperhomocysteinemia인 경우 엽산, 비타민 B6, 비타민 B12가 많이 함유된 식품 (잡곡, 살코기, 콩류, 푸른잎 채소 등)을 선택합니다"
신증후군식,"좋은 영양상태를 유지하는 것이 목표이며 체조직의 분해를 예방하기 위해 충분한 열량 섭취와 적절한 단백질 섭취가 필수입니다.  하지만 사구체의 손상을 막고, 신질환(콩팥병)이 진행되는 것을 막기위해 과다한 단백질 섭취는 피하는게 좋습니다. 또한 몸이 붓는 것(부종)을 조절하고, 혈압을 조절하기 위해서는 염분(나트륨) 섭취를 줄이는게 필요합니다.",1. 단백질 섭취를 제한합니다.2. 충분한 열량을 섭취합니다.3. 싱겁게 먹습니다.4. 필요시 수분 섭취를 줄입니다.,"1. 고기, 생선, 두부, 계란 등 단백질이 많은 식품은 한 끼니당 1토막(40~60g)정도만 섭취합니다.2. 단백질 제한으로 인한 열량 부족을 보충하기 위해 음식 요리시 올리브유, 들기름, 카놀라유 등의 기름과 설탕, 올리고당 등 당류를 충분히 사용할 것을 권장합니다.3. 싱겁게 드셔야 하므로, 소금, 간장, 된장 등 사용량을 줄이고 고추가루, 후추가루, 겨자가루, 식초 등의 향신료를 사용해보십시오.4. 외식시는 염분 조절이 어렵지만 스스로 소스나 양념양을 조절할 수 있는 비빔밥, 덮밥등을 권장하고 가급적 국물, 소스, 김치 섭취를 줄입니다.","1. 염분이 과다한 식품; 염장식품(장아찌, 젓갈), 김치, 라면, 건어물, 찌개국물 등2. 단백질이 과다한 건강기능식품, 콩가루 등",1. 단백질 섭취를 줄이는게 도움이 되지만 너무 줄이면 체조직이 분해되어 좋지 않으므로 전문가의 처방에 따라 적절한 단백질(식품)을 섭취합니다.2. 식사양이 줄어 열량 섭취가 줄면 체조직이 분해되어 체중이 감소하므로 밥 1공기정도의 충분한 식사량을 유지합니다.3. 신선한 채소와 과일을 섭취합니다.
식품 알레르기식,"식품 알레르기가 의심될 경우 정확한 알레르겐(항원) 검사를 통해 원인 식품을 제한하는 식사요법, 즉 회피요법이 필요합니다. 식품 알레르기의 원인이 되는 식품의 섭취를 엄격히 제한함으로서 식품 알레르기로 인한 아토피 피부염의 증상을 완화시킬 수 있습니다.","1. 아토피 피부염의 원인 식품을 정확히 진단한 후, 이들을 식사에서 제외시키고 대체 식품을 찾아서 영양적 불균형이 생기지 않도록 해야합니다. 원인 식품은 식사와 간식에서 엄격히 제외되어야 하며, 원인 식품이 포함된 음식 및 이들과 접촉한 음식까지도 섭취하지 않도록 합니다. 특히 계란이나 우유는 가공 식품의 재료로 많이 이용되므로 이들에 대한 알레르기가 있는 경우, 식품 성분표를 확인한 후 섭취해야 합니다.2. 수유를 하는 아이의 경우 검사를 통해 우유 알레르기가 확인되면 일반 분유를 가수분해 분유로 바꾸어 먹여야 하며, 모유 수유아의 경우에는 모유를 끊는 것이 좋고, 모유를 끊을 수 없거나 끊기가 힘든 경우 엄마가 우유 및 우유가 포함된 음식을 먹으면 안됩니다. 돌이 지난 아이의 경우에도 생우유를 먹일 수 없으므로 생우유 대신 가수분해 분유를 섭취해야 성장에 필요한 칼슘이나 비타민을 섭취할 수 있습니다. 반면 산양유는 우유 알레르기의 대체 분유로는 부적당합니다.3. 식품 알레르기 고위험군의 경우, 임신 중이나 수유 중 엄마의 식이를 제한하는 것은 권장되지 않으며 의학적으로 모유수유를 하지 못하는 경우가 아니라면 4~6개월까지 모유수유할 것을 권장하고, 만약 모유수유를 할 수 없는 경우 일반분유 대신 가수분해 분유를 먹이는 것이 좋습니다. 가수분해 분유를 먹이는 경우가 일반 분유를 먹이는 경우보다 우유 알레르기 발생은 낮추어 주지만 다른 식품에 대한 알레르기 발생을 예방하는 지는 확실하지 않습니다. 또한 이들에게서 일반 분유 대신 콩분유(소이분유)를 먹이는 것은 적절하지 않습니다.4. 일반적으로 이유식은 생후 6개월 이후에 되도록 늦게 시작하는 것이 좋으며 이는 우유, 계란과 같은 고항원성 식품에 대해서도 마찬가지입니다.",식품 알레르기 원인 식품을 제외한 모든 식품 및 음식을 먹도록 합니다.,"식품 알레르기의 원인 식품 및 원인 식품을 함유한 모든 음식을 주의해야 합니다. 예를 들어 계란 알레르기가 있는 환아의 경우 계란 뿐만 아니라 계란이 포함된 가공식품, 빵류, 부침개, 튀김옷(계란이 포함된), 마요네즈 등을 모두 먹어서는 안됩니다. 또한 계란옷을 입힌 전류의 계란옷만 벗긴 후 음식을 먹인다거나 계란이 얹어진 국수에서 계란만 덜어내고 국수를 먹이는 경우에도 알레르기 반응을 보일 수 있으므로 계란과 접촉한 모든 식품이나 음식의 섭취를 금해야 합니다. 계란은 여러가지 음식의 재료로 사용되므로 식품 성분표를 잘 확인하는 것도 중요합니다.",식품 알레르기의 유일한 치료법은 원인 식품에 대한 엄격한 회피요법입니다. 따라서 원인 식품이 무엇인지를 정확히 진단하는 것이 중요합니다. 정확한 진단없이 부모의 짐작만으로 특정 식품을 제한하게 되면 영양적 불균형과 성장 장애를 초래할 수 있으므로 오히려 해가 될 수 있습니다. 또한 식품 알레르기를 진단받은 후에는 원인 식품의 영양소를 포함하고 있는 대체 식품을 찾아 섭취해야 영양결핍을 예방할 수 있습니다. 만약 적절한 대체식품을 찾지 못한 경우에는 부족될 수 있는 영양소를 별도로 처방받아 복용하는 것이 필요할 수 있습니다.
식중독식,"식중독으로 발생하는 설사, 구토로 인해 체액손실이 증가되어 수분 및 전해질, 영양분 등의 불균형을 초래할 수 있어 적절한 영양관리가 필요합니다.","1. 일반적으로 발병 후 24시간 동안 금식합니다.2. 위장의 기능이 회복된 것으로 생각되면 처음에는 유동식으로 시작하며 열량 보충을 위해 고단백 영양음료를 함께 섭취합니다.3. 상태가 호전됨에 따라 부드러운 죽이나, 음식을 섭취합니다.4. 보리, 현미, 콩 등의 잡곡 보다는 부드러운 쌀밥을 섭취합니다.5. 생야채, 해조류의 섭취를 제한합니다.6. 생과일 대신 과일통조림이나 과일쥬스를 마시도록 합니다..7. 매끼 연한 육류, 생선, 두부, 계란 등을 충분히 섭취합니다.8. 식욕이 저하된 경우에는 소량씩 자주 섭취합니다.9. 수분을 충분히 섭취합니다.10. 강한 향신료나 조미료의 사용을 피합니다.11. 견과류의 섭취를 주의합니다.","초기 - 쌀미음, 국물(고기, 생선), 삶은 채소(당근, 호박, 오이, 시금치, 양송이, 가지 등), 보리차, 익힌 생선, 고기, 과일즙회복기 - 쌀밥, 살코기, 계란 두부, 닭고기, 생선, 유제품, 잘 익힌 시금치, 애호박, 당근, 숙주, 양송이 가지, 양상치, 바나나, 과일통조림,","신선한 채소, 견과류(땅콩, 호두, 잣 등), 신선한 과일, 유제품(우유, 두유, 요구르트, 요거트, 저지방 우유), 기름진 육류, 튀김, 주류(소주, 맥주, 막걸리 등), 과량의 된장, 고추장, 고춧가루, 겨자, 커피, 과자 등","1. 맑은 유동식은 대부분의 영양소가 부족하므로 1~2일 이상은 섭취하지 않도록 합니다.2. 상태가 호전되면 비교적 소화되기 쉬운 저지방, 부드러운 식사로 진행하며, 소량씩 자주 먹는 것이 좋습니다.3. 비타민C, 엽산 및 무기질 등이 결핍될 수 있으므로 보충이 필요할 수 있습니다."
"장폐색식, 또는 장유착식",의료진의 판단 하에 일정 기간 장을 휴식시킨 후 합병증없이 정상식으로 이행하기 위해 식사요법이 필요합니다.,1. 급성기에는 금식하고 정맥주사로 영양분을 공급받습니다.2. 상태가 호전되면 의료진의 처방하에 식사를 진행합니다.3. 초기에는 맑은 유동식에서 시작하여 차츰 자극성이나 섬유소가 적은 부드러운 음식으로 섭취합니다.4. 천천히 꼭꼭 씹어 먹습니다.5. 열량보충을 위해 식품에 대한 적응도를 관찰하며 소량씩 자주 먹습니다.6. 수분이 부족하지 않도록 물과 음료를 수시로 섭취합니다.,"곡류: 흰밥, 흰식빵, 국수, 감자어육류: 껍질을 제거한 육류(연한 쇠고기, 돼지고기, 계란, 두부, 생선, 닭고기)채소류: 부드러운 채소류(양송이, 오이, 배추, 무, 양파, 가지, 양송이, 당근, 시금치)과일류: 씨와 껍질을 제거한 과일류(사과, 복숭아, 귤, 포도, 메론, 과일통조림, 주스)우유 및 유제품: 우유, 요플레, 푸딩, 아이스크림기타: 영양보충음료","곡류: 거칠고 섬유질이 많은 잡곡류 (보리, 현미, 율무, 미숫가루, 콩류, 고구마, 옥수수)어육류: 질긴 육류, 햄류, 조개류, 비지채소류: 섬유질이 많은 채소류(김치류, 도라지, 근대, 고사라, 콩나물, 부추, 숙주, 말린 나물, 표고버섯)과일류: 섬유질이 많은 과일류(감, 배, 오렌지, 키위, 토마토, 딸기, 파인애플)해조류: 미역, 다시마, 파래",장폐색의 원인과 경과에 따른 의료진의  정확한 판단하에 식사를 진행합니다.수분과 전해질이 부족하지 않도록 주의합니다.소량씩 식사를 진행해보고 장폐색 증상이 완전히 호전되면 일반식으로 전환하여 균형잡힌 영양을 섭취합니다.
자궁내 성장지연식,"자궁내 성장지연의 원인은 임신중독증, 임산부의 고령화, 만성적인 영양섭취 부족, 빈혈 등으로 다양하며 치료방법은 우선 임신주수와 태아의 성숙도를 파악하고 원인이 되는 요소를 교정 내지 제거하는 것이 치료를 위한 첫걸음이라 할 수 있습니다. 그러나 지금까지 영양 공급을 통한 성장지연의 치료가 시도되고 있으나 연구 결과의 신뢰성은 부족한 상태입니다. 따라서 영양섭취부족의 원인을 잘 이해하고 성장지연을 미연에 방지하는 예방차원의 식사요법이 필요합니다.","1. BMI에 따른 바람직한 체중증가 권장량을 이용하여 자신의 이상적인 체중증가를 예측하고 이에 따른 섭취량을 조절합니다.2. 6가지 식품군(곡류, 채소 및 과일, 어육류, 우유및 유제품, 유지류)중 한가지 식품군도 빠짐 없이 골고루 섭취합니다. 임산부의 1일 식사 구성안을 참고하여 권장기준을 따릅니다.3. 다양한 채소군과 과일군을 선택하여 비타민과 무기질을 충분히 섭취합니다.4. 빈혈을 예방하고 치료하기 위해 철분이 많이 함유된 식품을 섭취합니다.","철분이 풍부한 식품(쇠간, 쇠고기, 굴, 부추, 시금치, 쑥갓, 근대와 같은 초록색 엽채)","1.술, 카페인 함유식품(커피, 콜라, 초콜릿)2. 짠음식(장아찌, 젓갈, 가공식품)",
자궁경부암식,"자궁 경부암은 특별히 섭취를 금하거나 도움이 되는 음식은 없으며, 균형잡힌 음식을 골고루 잘 섭취하여 좋은 영양상태를 유지하는것이 중요합니다.","1. 지나친 과체중과 비만이 되지 않도록 정상 체중을 유지합니다.2. 세끼 식사를 규칙적으로 하며 밥과 반찬을 골고루 먹습니다.3. 매끼 단백질 반찬(고기, 생선, 해물, 콩, 두부, 계란)을 꼭 갖추어 먹습니다.4. 채소와 과일을 충분히 섭취합니다. (하루 5-6접시 정도)5. 지나친 고지방식이는 비만의 원인이 되므로 피하는 것이 좋습니다.6. 식품첨가물, 정제된 식품을 제한하며 짜게 먹지 않도록 합니다.","항암식품(브로콜리, 호박 등 ), 엽산이 풍부한 식품(시금치, 아스파라거스 등..), 해조류, 신선한 과일및 채소","각종 즙이나 엑기스, 한약, 민간요법, 익히지 않은 어육류, 과량의 적색육류 섭취","1. 암에 좋다는 음식보다는 소화가 잘되고 환자가 선호하는 음식으로 섭취하는 것이 좋습니다.2. 음식 간을 제한하지 않는 것이 좋습니다.3. 면역력 저하 시 식사요령과 부작용 시 영양관리 요령을 숙지합니다.4. 특정 음식을 제한하거나 편중해 섭취하지 않습니다.5. 회, 육회와 같은 동물성 날음식 섭취를 피해야합니다.6. 신체 활동량을 늘립니다."
임신성고혈압식,임신성 고혈압은 태반이나 태아로 혈액 공급에 장애가 발생하여 태아의 성장부전이 발생하거나 심한 경우 태아사망의 원인이 될 수도 있으며 출산 후 만성적 고혈압으로 진행될 수도 있습니다. 따라서 혈압을 정상수준으로 유지하고 부종이나 단백뇨 등의 임신중독증으로 진행되는 것을 막아 건강한 태아를 안전하게 분만하기 위해 식사 조절이 필요합니다.,"1. 성인 여자는 하루에 2,000-2,200칼로리 정도 섭취하는 것이 적당한데 임신 중에는 하루에 300칼로리가 더 필요합니다. 하지만 이는 개인에 따라 차이가 있으므로 정상적인 체중 증가 정도(임신 초기 4개월간은 월 1~2kg, 후반기 6개월은 월0.5kg 증가)를 면밀히 점검하면서 상태에 따라 섭취량을 증감하도록 합니다.2. 매일 다양한 식품을 골고루 섭취합니다.3. 단백질 식품은 섭취량을 특별히 양을 제한하지는 않으나 적절한 양을 섭취합니다. 고기, 생선, 계란, 두부 등의 양질의 단백질 식품을 매끼 1~2가지 챙겨 먹도록 합니다.4. 비타민과 무기질(특히, 칼륨, 칼슘, 마그네슘 등)이 풍부한 채소나 과일, 잡곡을 충분히 섭취합니다.5. 육류의 기름이나 닭껍질, 버터 등의 포화지방이 많은 식품의 섭취를 피합니다.6. 계란 노른자, 오징어, 새우, 생선 내장류 등의 고콜레스테롤 식품의 섭취는 주 2회 미만으로 제한합니다.7. 저지방우유나 칼슘강화 요쿠르트 등의 고칼슘 식품을 충분히 섭취합니다.8. 염분 섭취는 하루 소금량 5-10g 정도 제한합니다.< 싱겁게 먹는 방법 >1) 찌개, 탕, 전골 등의 국물 위주의 음식은 염분 함량이 높으므로 자제하고 가능한 맑은 국이나 된장국을 건더기 위주로 먹고 국물은 남깁니다.2) 국물은 다시마, 버섯, 조개, 가다랭이 등을 써서 맛을 내면 염분량을 적게 사용해도 맛있게 먹을 수 있습니다.3) 반찬에는 가능한 싱겁게 간을 하거나 아예 소금이나 조미료(간장,고추장,된장 등)를 사용하지 않고 조리한 후 허용되는 염분 분량으로 다양한 소스를 만들어서 이용하는 것이 도움이 됩니다.4) 생선의 경우 조림보다는 튀김이나 소금간을 하지 않은 구이로 하면 소금을 적게 먹을 수 있으며 미리 간을 하지 않고 그냥 구워서 간장이나 다른 소스에 찍어 먹거나 레몬즙을 뿌리면 소금 없이도 먹을 수 있습니다.5) 김치 대신 싱겁게 담은 물김치나 생채, 겉절이 김치를 이용합니다.6) 인스턴트 식품이나 염장식품은 기본적으로 많은 소금이 포함되어 있으므로 직접 신선한 식품 재료를 사서 조리해서 섭취하는 것이 좋습니다.","칼슘이 풍부한 식품(유제품, 콩류, 들깨, 참깨, 멸치, 뱅어포 등) 단, 멸치 등의 건어물은 염분 함량 높으므로 주의해야합니다엽산이 풍부한 식품(간, 굴, 대구, 콩, 계란, 녹색잎 채소)식이섬유소와 칼륨이 풍부한 식품(잡곡류, 신선한 채소, 제철 과일)","가공식품이나 인스턴트 식품(햄, 어묵, 게맛살, 가공조미료 등)염장식품(젓갈, 장아찌, 김치류)포화지방이 많은 식품(삽겹살, 닭고기 껍질, 햄, 소시지 등)카페인 함유 식품(커피, 홍차, 녹차, 코코아 등)",1. 술과 흡연은 절대 금합니다.2. 임신 주기에 알맞은 체중을 유지합니다.3. 임신 후반기에는 (임신 20∼24주 이후) 주치의와 상의하여 철분과 엽산보충제를 복용합니다.
임신성 당뇨식,임신기간 중에 필요한 영양소를 제공하여 적절한 체중증가와 정상 혈당을 유지하면서 케톤이 발생하지 않도록 당조절이 필요한 식사입니다.,"1. 하루 3끼 식사와 2~3회 간식을 소량씩 자주 섭취합니다.2. 식사와 간식 간격을 적절히 조절하도록 합니다.3. 인슐린 치료 시 밤사이 저혈당을 예방하기 위해 적정량 야식(우유, 두유, 곡류, 빵, 고구마 등의 복합당질 식품)을 섭취합니다.4. 충분한 단백질 공급을 위해 매끼 고기, 생선, 두부, 계란 등의 단백질 식품을 섭취합니다.5. 철분과 엽산이 풍부한 식품을 먹습니다.- 철분이 풍부한 식품 : 간, 난황, 육류, 견과류, 완두콩, 당근, 시금치, 깻잎 등- 엽산이 풍부한 식품 : 호박, 시금치, 고구마, 땅콩, 버섯, 브로콜리 등6. 혈당 조절을 위해 과일은 하루에 1단위 정도(사과 1/3개, 귤 1개, 키위 1개)로 줄입니다.","비타민 C가 풍부한 채소 섭취칼슘보충을 위해 하루 2잔정도의 유제품 섭취열량이 적은 식품(곤약, 해조류, 버섯류, 우뭇가사리 등) 섭취","당질함량이 많아 혈당을 급격히 올리는 식품 : 쵸코렛, 사탕, 탄산음료, 케잌포화지방산(육류기름, 버터, 마가린, 소세지, 햄, 베이컨 등)이 많이 함유된 식품알코올","1. 아침 첫 소변검사를 통해 케톤체가 발생되는지 확인하며, 케톤 발생 시 취침 전 간식량을 늘립니다.2. 변비 예방을 위해 섬유소 섭취를 충분히 섭취합니다.3. 알코올은 임신기간 중 금주를 원칙으로 합니다.4. 카페인은 하루 300mg 이하(커피 2잔정 도의 양)로 제한합니다.5. 임신성 고혈압을 예방하기 위하여 너무 짠 음식은 섭취를 피합니다"
유방암식,"폐경 후 여성의 서구화된 식습관 및 비만이 유방암 발생율을 높일 수 있고, 유방암 진단 후 관리 및 재발 방지를 위해 식사요법이 필요합니다.","1. 적정체중 유지를 고려한 식사 및 간식을 섭취합니다.2. 하루 3끼 식사는 거르지 말고 규칙적으로 합니다.3. 도정된 곡류보다는 전곡류(도정되지 않은 곡류)를 선택하며, 단순당의 섭취를 가급적 줄입니다.4. 육류는 살코기로 주 500g (익힌 고기 300g 정도) 이하로 섭취합니다.5. 식물성 기름(참기름, 들기름, 식용유, 올리브 등)은 한끼에 1-2 찻술 이하로 사용하며 조림, 찜, 무침 등의 조리방법을 주로 이용합니다.6. 생선(흰살, 등푸른 생선)은 주 3~4회 정도 섭취합니다.7. 유제품은 저지방(고칼슘) 제품으로 하루 1~2컵 정도 섭취합니다.8. 다양한 색깔의 야채를 하루 5접시 이상(한끼 2접시) 섭취합니다.9. 다양한 색깔의 과일을 하루 2회 정도 섭취합니다.10. 천연조미료(파, 마늘, 생강, 겨자, 식초, 고추장, 된장, 간장, 소금 등)를 활용하여 기호도에 맞는 식단을 갖춥니다.11. 골다공증을 예방, 치료하기 위한 영양요법을 준수합니다.12. 술, 담배는 금합니다.13. 주 3회 이상 하루 30분 정도는 일광욕을 합니다.14. 주 3회 이상 하루 1시간 정도는 유산소 운동을 합니다.15. 성분과 역할이 불분명한 건강보조식품의 남용은 피합니다.","도정되지 않은 곡류, 등푸른 생선, 저지방고칼슘 우유, 제철 채소, 제철 과일","고열량식, 고지방식, 술",일시적인 식사 요법의 준수가 아닌 꾸준히 지키는 것이 병을 예방하는 지름길 입니다.
윌슨병식,체내의 구리 축적을 줄이기 위해 구리 섭취를 줄이도록 합니다.,"1. 구리함량이 높은 식품 섭취를 피하고 구리함량이 낮은 식품위주로 섭취합니다.2. D-페니실라민을 사용하는 경우, 비타민 B6결핍을 방지 하기 위해 1일 25mg의 비타민 B6를 보충합니다.3. 금주합니다.","쌀밥, 국수, 쇠고기, 닭고기, 계란흰자, 흰살생선, 우유, 채소류, 과일, 식물성 기름, 설탕 등","잡곡류, 내장류, 대두, 오징어, 새우, 양송이 버섯, 말린과일, 견과류, 코코아 등",
위암식,"종양 대사 산물로 인한 체중 감소, 섭취 저하가 나타날 수 있으며 치료 과정 중의 섭취 불량으로 영양불량이 발생할 수 있으므로 적절한 식사요법을 통한 좋은 영양상태의 유지가 필요합니다.","<수술 전>1. 소화부담이 없는 범위 내에서 균형잡힌 식단을 통해 체력을 보충하는 것이 필요합니다.2. 지나치게 자극적인 음식 섭취, 과식, 빨리 먹는 습관은 주의하는 것이 좋습니다.<수술 후>1. 미음 시도 후 흰죽, 영양죽으로 진행하며 하루 6회 이상 식사와 간식을 병행하여야 합니다.2. 보통 수술 후 2-3주 후 경에 밥으로의 진행을 권장하나 일상적인 식사 섭취가 가능한 것은 2달 이상은 예상해야합니다.","수술 전 - 양질의 단백질 식품(고기, 생선, 두부, 계란, 해물), 우유 및 유제품수술 후 - 부드러운 음식(영양죽, 카스텔라, 감자, 잔치국수, 부드럽게 조리한 어육류, 해물, 두부, 계란, 치즈, 생과일주스, 우유 및 유제품, 영양보충음료)","수술 전 - 특정 식품의 제한, 저열량식, 저단백식수술 후 - 거칠고 딱딱한 음식(잡곡, 멸치, 견과류, 섬유질 많은 채소, 해조류, 말린과일,말린채소, 떫은 과일 등)",수술 후 1-2달은 천천히 꼭꼭 씹어 섭취하는 것이 무엇보다 중요합니다. 한끼 식사는 30분 가량 하며 식후 30분 후에 걷는 운동을 많이 하는 것이 좋습니다.
위식도역류질환식,식도와 위 사이의 근육 기능이 악화되면 위 내용물이 위에서 식도로 거꾸로 올라오게 되고 이것이 식도를 자극하게 되어 속쓰림 증상이 나타나게 됩니다. 따라서 이러한 증상을 최소로 낮추기 위해 식사조절이 필요합니다.,1. 정상체중을 유지합니다.2. 규칙적인 식사로 과식이나 포식을 피합니다.3. 단백질 식품을 충분히 섭취합니다.4. 천천히 꼭꼭 씹어 먹으며 식사 도중에 물을 마시지 않습니다.5. 변비는 복압을 높여 위산 역류를 일으키므로 섬유질이 풍부한 식품을 자주 섭취합니다.6. 식사 시 반듯하게 앉아서 먹도록 하며 식후에 적어도 2~3시간 동안은 눕지 않습니다.7. 취침 전 2시간 이내에는 음식을 먹지 않는 것이 좋습니다.,"기름이 적은 육고기, 생선, 두부, 계란 등 양질의 단백질 식품, 각종 채소류(브로콜리, 양파, 마늘, 완두콩, 더덕, 도라지, 당근, 오이 등)","커피, 초콜릿, 박하사탕, 차, 튀김류, 고지방육류, 맵고 짠 음식, 질긴 음식, 탄산음료(콜라, 사이다 등), 오렌지주스, 인스턴트 식품(라면, 햄버거 등)",몸에 꽉 죄는 옷은 복압을 증가시켜 위산 역류를 자극할 수 있으므로 피하는 것이 좋으며 잠을 잘 때는 상체를 높여주는 것이 좋습니다.
